source_analysis_id	source_seqid	matched_seqid	source_target_symbol	source_label	trait_ontology_name	trait_ontology_id	target_full_name	entrez_id	ensembl_gene_id	gene_name	chromosome	gene_start	gene_end	strand	gene_biotype	genome_build	is_primary_chromosome	mhc	target_resolution_method	target_resolution_notes	mapping_status	mapping_source	somascan_db_version	coordinate_source	coordinate_source_url
GCST90240170	12900-29	31985-1	ACACB	Acetyl-CoA carboxylase 2 levels (ACACB.12900.29.3)	acetyl-CoA carboxylase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0802248	Acetyl-CoA carboxylase 2	32	ENSG00000076555	ACACB	12	109116320	109268226	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_gene_name	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to SomaScan.db gene_name	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240171	5748-20	5748-20	ASAH1	Acid ceramidase levels (ASAH1.5748.20.3)	acid ceramidase measurement	http://www.ebi.ac.uk/efo/EFO_0801339	Acid ceramidase	427	ENSG00000104763	ASAH1	8	18055992	18084998	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240172	14086-11	14086-11	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a levels (SMPDL3A.14086.11.3)	acid sphingomyelinase-like phosphodiesterase 3a measurement	http://www.ebi.ac.uk/efo/EFO_0008013	Acid sphingomyelinase-like phosphodiesterase 3a	10924	ENSG00000172594	SMPDL3A	6	122788456	122811801	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240173	4771-10	4771-10	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a levels (SMPDL3A.4771.10.3)	acid sphingomyelinase-like phosphodiesterase 3a measurement	http://www.ebi.ac.uk/efo/EFO_0008013	Acid sphingomyelinase-like phosphodiesterase 3a	10924	ENSG00000172594	SMPDL3A	6	122788456	122811801	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240174	6951-26	6951-26	ASIC4	Acid-sensing ion channel 4 levels (ASIC4.6951.26.3)	acid-sensing ion channel 4 measurement	http://www.ebi.ac.uk/efo/EFO_0802249	Acid-sensing ion channel 4	55515	ENSG00000072182	ASIC4	2	219514170	219538772	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240175	13073-14	13073-14	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A levels (ANP32A.13073.14.3)	acidic leucine-rich nuclear phosphoprotein 32 family member A measurement	http://www.ebi.ac.uk/efo/EFO_0802250	Acidic leucine-rich nuclear phosphoprotein 32 family member A	8125	ENSG00000140350	ANP32A	15	68778534	68820924	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240176	4194-26	4194-26	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B levels (ANP32B.4194.26.3)	acidic leucine-rich nuclear phosphoprotein 32 family member b measurement	http://www.ebi.ac.uk/efo/EFO_0020125	Acidic leucine-rich nuclear phosphoprotein 32 family member B	10541	ENSG00000136938	ANP32B	9	97983126	98017079	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240177	13578-98	13578-98	ABLIM3	Actin-binding LIM protein 3 levels (ABLIM3.13578.98.3)	actin-binding LIM protein 3 measurement	http://www.ebi.ac.uk/efo/EFO_0802251	Actin-binding LIM protein 3	22885	ENSG00000173210	ABLIM3	5	149141362	149260542	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240178	13573-5	13573-5	ARPC3	Actin-related protein 2/3 complex subunit 3 levels (ARPC3.13573.5.3)	actin-related protein 2/3 complex subunit 3 measurement	http://www.ebi.ac.uk/efo/EFO_0802252	Actin-related protein 2/3 complex subunit 3	10094	ENSG00000111229	ARPC3	12	110434436	110450422	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240179	3758-63	3758-63	PROC	Activated Protein C levels (PROC.3758.63.3)	activated protein C measurement	http://www.ebi.ac.uk/efo/EFO_0020126	Activated Protein C	5624	ENSG00000115718	PROC	2	127415933	127429762	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240180	3758-68	3758-68	PROC	Activated Protein C levels (PROC.3758.68.3)	activated protein C measurement	http://www.ebi.ac.uk/efo/EFO_0020126	Activated Protein C	5624	ENSG00000115718	PROC	2	127415933	127429762	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240181	10647-18	10647-18	ASCC1	Activating signal cointegrator 1 complex subunit 1 levels (ASCC1.10647.18.3)	activating signal cointegrator 1 complex subunit 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801340	Activating signal cointegrator 1 complex subunit 1	51008	ENSG00000138303	ASCC1	10	72092153	72217653	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240182	11633-89	11633-89	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 levels (AHSA1.11633.89.3)	activator of 90 kDa heat shock protein ATPase homolog 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801341	Activator of 90 kDa heat shock protein ATPase homolog 1	10598	ENSG00000100591	AHSA1	14	77457743	77469482	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240183	8008-28	8008-28	HRK	Activator of apoptosis harakiri levels (HRK.8008.28.3)	activator of apoptosis harakiri measurement	http://www.ebi.ac.uk/efo/EFO_0802253	Activator of apoptosis harakiri	8739	ENSG00000135116	HRK	12	116856144	116881447	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240184	2806-49	2806-49	ACVR1B	Activin receptor type-1B levels (ACVR1B.2806.49.2)	activin receptor type-1B amount	http://purl.obolibrary.org/obo/OBA_2050263	Activin receptor type-1B	91	ENSG00000135503	ACVR1B	12	51951675	51997082	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240185	10075-75	10075-75	ACBD6	Acyl-CoA-binding domain-containing protein 6 levels (ACBD6.10075.75.3)	acyl-CoA-binding domain-containing protein 6 measurement	http://www.ebi.ac.uk/efo/EFO_0801342	Acyl-CoA-binding domain-containing protein 6	84320	ENSG00000230124	ACBD6	1	180269653	180502954	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240186	13563-259	13563-259	ACBD7	Acyl-CoA-binding domain-containing protein 7 levels (ACBD7.13563.259.3)	acyl-CoA-binding domain-containing protein 7 measurement	http://www.ebi.ac.uk/efo/EFO_0801343	Acyl-CoA-binding domain-containing protein 7	414149	ENSG00000176244	ACBD7	10	15073038	15088802	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240187	12812-25	12812-25	ACYP2	Acylphosphatase-2 levels (ACYP2.12812.25.3)	acylphosphatase-2 measurement	http://www.ebi.ac.uk/efo/EFO_0801344	Acylphosphatase-2	98	ENSG00000170634	ACYP2	2	53970838	54305829	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240188	6575-79	6575-79	ADAMTSL1	ADAMTS-like protein 1 levels (ADAMTSL1.6575.79.3)	ADAMTS-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802254	ADAMTS-like protein 1	92949	ENSG00000178031	ADAMTSL1	9	17906563	18910950	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240189	4976-57	4976-57	CRK	Adapter molecule crk levels (CRK.4976.57.1)	adapter molecule CRK measurement	http://www.ebi.ac.uk/efo/EFO_0020128	Adapter molecule crk	1398	ENSG00000167193	CRK	17	1420689	1463162	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240190	10660-33		SLC35B3	Adenosine 3'-phospho 5'-phosphosulfate transporter 2 levels (SLC35B3.10660.33.3)	adenosine 3'-phospho 5'-phosphosulfate transporter 2 measurement	http://www.ebi.ac.uk/efo/EFO_0802255			ENSG00000124786	SLC35B3	6	8411435	8435983	-1	protein_coding	GRCh38	TRUE	FALSE	ensembl_hgnc_symbol	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to Ensembl HGNC symbol	mapped_to_ensembl	GWAS Catalog trait symbol		Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240191	6077-63	6077-63	CECR1	Adenosine deaminase CECR1 levels (CECR1.6077.63.3)	adenosine deaminase measurement	http://www.ebi.ac.uk/efo/EFO_0010761	Adenosine deaminase CECR1	51816	ENSG00000093072	ADA2	22	17178790	17258235	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240192	5012-67	5012-67	AK1	Adenylate kinase isoenzyme 1 levels (AK1.5012.67.1)	adenylate kinase isoenzyme 1 measurement	http://www.ebi.ac.uk/efo/EFO_0020129	Adenylate kinase isoenzyme 1	203	ENSG00000106992	AK1	9	127866435	127878558	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240193	13998-26	13998-26	ADSSL1	Adenylosuccinate synthetase isozyme 1 levels (ADSSL1.13998.26.3)	adenylosuccinate synthetase isozyme 1 measurement	http://www.ebi.ac.uk/efo/EFO_0802256	Adenylosuccinate synthetase isozyme 1	122622	ENSG00000185100	ADSS1	14	104724174	104747523	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240194	12644-63	12644-63	ADSS	Adenylosuccinate synthetase isozyme 2 levels (ADSS.12644.63.3)	adenylosuccinate synthetase isozyme 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801345	Adenylosuccinate synthetase isozyme 2	159	ENSG00000035687	ADSS2	1	244407274	244452102	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240195	14229-5	14229-5	MOCS3	Adenylyltransferase and sulfurtransferase MOCS3 levels (MOCS3.14229.5.3)	adenylyltransferase and sulfurtransferase MOCS3 measurement	http://www.ebi.ac.uk/efo/EFO_0802257	Adenylyltransferase and sulfurtransferase MOCS3	27304	ENSG00000124217	MOCS3	20	50958818	50963929	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240196	6409-57	6409-57	ADGRF5	Adhesion G protein-coupled receptor F5 levels (ADGRF5.6409.57.3)	adhesion G protein-coupled receptor F5 measurement	http://www.ebi.ac.uk/efo/EFO_0801346	Adhesion G protein-coupled receptor F5	221395	ENSG00000069122	ADGRF5	6	46852310	46956392	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240197	11243-90	11243-90	ADGRF1	Adhesion G-protein coupled receptor F1 levels (ADGRF1.11243.90.3)	adhesion G-protein coupled receptor F1 measurement	http://www.ebi.ac.uk/efo/EFO_0801347	Adhesion G-protein coupled receptor F1	266977	ENSG00000153292	ADGRF1	6	46997708	47042368	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240198	4551-72	4551-72	ADGRG5	Adhesion G-protein coupled receptor G5 levels (ADGRG5.4551.72.3)	adhesion G-protein coupled receptor G5 measurement	http://www.ebi.ac.uk/efo/EFO_0021980	Adhesion G-protein coupled receptor G5	221188	ENSG00000159618	ADGRG5	16	57528585	57591681	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240199	10605-22	10605-22	APMAP	Adipocyte plasma membrane-associated protein levels (APMAP.10605.22.3)	adipocyte plasma membrane-associated protein measurement	http://www.ebi.ac.uk/efo/EFO_0801348	Adipocyte plasma membrane-associated protein	57136	ENSG00000101474	APMAP	20	24962924	24992784	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240200	6221-1	6221-1	ADPGK	ADP-dependent glucokinase levels (ADPGK.6221.1.3)	ADP-dependent glucokinase measurement	http://www.ebi.ac.uk/efo/EFO_0802258	ADP-dependent glucokinase	83440	ENSG00000159322	ADPGK	15	72735951	72785846	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240201	9482-110	9482-110	NUDT9	ADP-ribose pyrophosphatase, mitochondrial levels (NUDT9.9482.110.3)	ADP-ribose pyrophosphatase, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0801349	ADP-ribose pyrophosphatase, mitochondrial	53343	ENSG00000170502	NUDT9	4	87422573	87459455	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240202	11505-1	11513-92	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 levels (CD38.11505.1.3)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021923	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	952	ENSG00000004468	CD38	4	15778275	15853232	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_gene_name	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to SomaScan.db gene_name	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240202	11505-1	7174-15	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 levels (CD38.11505.1.3)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021923	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	952	ENSG00000004468	CD38	4	15778275	15853232	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_gene_name	source SeqId absent from current SomaScan.db; coordinate resolved by matching GWAS Catalog trait symbol to SomaScan.db gene_name	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240203	11513-92	11513-92	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 levels (CD38.11513.92.3)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021923	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	952	ENSG00000004468	CD38	4	15778275	15853232	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240204	4535-50	4535-50	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 levels (BST1.4535.50.2)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008014	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	683	ENSG00000109743	BST1	4	15702993	15775614	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240205	12578-13	12578-13	ARF3	ADP-ribosylation factor 3 levels (ARF3.12578.13.3)	ADP-ribosylation factor 3 measurement	http://www.ebi.ac.uk/efo/EFO_0802259	ADP-ribosylation factor 3	377	ENSG00000134287	ARF3	12	48903141	48957531	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240206	12425-104	12425-104	ARF6	ADP-ribosylation factor 6 levels (ARF6.12425.104.3)	ADP-ribosylation factor 6 measurement	http://www.ebi.ac.uk/efo/EFO_0801350	ADP-ribosylation factor 6	382	ENSG00000165527	ARF6	14	49892608	49897202	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240207	11664-32	11664-32	ARFGAP2	ADP-ribosylation factor GTPase-activating protein 2 levels (ARFGAP2.11664.32.3)	ADP-ribosylation factor GTPase-activating protein 2 measurement	http://www.ebi.ac.uk/efo/EFO_0801351	ADP-ribosylation factor GTPase-activating protein 2	84364	ENSG00000149182	ARFGAP2	11	47135667	47177474	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240208	13594-158	13594-158	GGA1	ADP-ribosylation factor-binding protein GGA1 levels (GGA1.13594.158.3)	ADP-ribosylation factor-binding protein GGA1 measurement	http://www.ebi.ac.uk/efo/EFO_0801352	ADP-ribosylation factor-binding protein GGA1	26088	ENSG00000100083	GGA1	22	37608474	37633564	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240209	11683-19	11683-19	GGA3	ADP-ribosylation factor-binding protein GGA3 levels (GGA3.11683.19.3)	ADP-ribosylation factor-binding protein GGA3 measurement	http://www.ebi.ac.uk/efo/EFO_0801353	ADP-ribosylation factor-binding protein GGA3	23163	ENSG00000125447	GGA3	17	75236595	75262363	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240210	12392-30	12392-30	ARL1	ADP-ribosylation factor-like protein 1 levels (ARL1.12392.30.3)	ADP-ribosylation factor-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801354	ADP-ribosylation factor-like protein 1	400	ENSG00000120805	ARL1	12	101365309	101407794	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240211	12433-8	12433-8	ARL11	ADP-ribosylation factor-like protein 11 levels (ARL11.12433.8.3)	ADP-ribosylation factor-like protein 11 measurement	http://www.ebi.ac.uk/efo/EFO_0801355	ADP-ribosylation factor-like protein 11	115761	ENSG00000152213	ARL11	13	49628464	49634842	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240212	12571-14	12571-14	ARL3	ADP-ribosylation factor-like protein 3 levels (ARL3.12571.14.3)	ADP-ribosylation factor-like protein 3 measurement	http://www.ebi.ac.uk/efo/EFO_0801356	ADP-ribosylation factor-like protein 3	403	ENSG00000138175	ARL3	10	102673731	102714527	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240213	14115-34	14115-34	ADM	Adrenomedullin levels (ADM.14115.34.3)	adrenomedullin measurement	http://www.ebi.ac.uk/efo/EFO_0010909	Adrenomedullin	133	ENSG00000148926	ADM	11	10303008	10307397	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240214	12684-5	12684-5	SCIN	Adseverin levels (SCIN.12684.5.3)	adseverin measurement	http://www.ebi.ac.uk/efo/EFO_0801358	Adseverin	85477	ENSG00000006747	SCIN	7	12570577	12660182	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240215	4125-52	4125-52	AGER	Advanced glycosylation end product-specific receptor, soluble levels (AGER.4125.52.2)	advanced glycosylation end product-specific receptor amount	http://purl.obolibrary.org/obo/OBA_2050267	Advanced glycosylation end product-specific receptor, soluble	177	ENSG00000204305	AGER	6	32180963	32184365	-1	protein_coding	GRCh38	TRUE	TRUE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240216	3280-49	3280-49	ACAN	Aggrecan core protein levels (ACAN.3280.49.2)	aggrecan core protein measurement	http://www.ebi.ac.uk/efo/EFO_0020133	Aggrecan core protein	176	ENSG00000157766	ACAN	15	88803427	88875353	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240217	2813-11	2813-11	AGRP	Agouti-related protein levels (AGRP.2813.11.2)	Agouti-related protein measurement	http://www.ebi.ac.uk/efo/EFO_0008016	Agouti-related protein	181	ENSG00000159723	AGRP	16	67482571	67483552	-1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
GCST90240218	5676-54	5676-54	ASIP	Agouti-signaling protein levels (ASIP.5676.54.3)	Agouti-signaling protein measurement	http://www.ebi.ac.uk/efo/EFO_0801357	Agouti-signaling protein	434	ENSG00000101440	ASIP	20	34194569	34269346	1	protein_coding	GRCh38	TRUE	FALSE	somascan_db_seqid	""	mapped_to_ensembl	SomaScan.db	0.99.10	Ensembl BioMart hsapiens_gene_ensembl	https://www.ensembl.org/biomart/martservice
