analysis_index	analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	trait_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	gene_id	gene_name	trait_chr	trait_bp	n	tissue	context	mhc	target_resolution_method	n_target_rows
25	GCST90240144	GCST90240144	39S ribosomal protein L34, mitochondrial levels (MRPL34.6933.20.3)	39S ribosomal protein L34, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802238	http://www.ebi.ac.uk/efo/EFO_0802238	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MRPL34_GCST90240144.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240144/harmonised/GCST90240144.h.tsv.gz		MRPL34_GCST90240144.filtered.tsv.gz	f32e31e942bd9f86e44a3f602cd2d09231a17524a9ebe1aa34bd805aa5915fec	sha256	301997	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000130312	MRPL34	19	17292543	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
26	GCST90240145	GCST90240145	39S ribosomal protein L52, mitochondrial levels (MRPL52.7123.25.3)	39S ribosomal protein L52, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802239	http://www.ebi.ac.uk/efo/EFO_0802239	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MRPL52_GCST90240145.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240145/harmonised/GCST90240145.h.tsv.gz		MRPL52_GCST90240145.filtered.tsv.gz	9ddd6036287123f84b8df0cb0022aee107d1287cee92867eb72500136359a472	sha256	248445	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000172590	MRPL52	14	22829871	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
27	GCST90240146	GCST90240146	4-hydroxy-2-oxoglutarate aldolase, mitochondrial levels (HOGA1.10024.44.3)	4-hydroxy-2-oxoglutarate aldolase, mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0802240	http://www.ebi.ac.uk/efo/EFO_0802240	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/HOGA1_GCST90240146.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240146/harmonised/GCST90240146.h.tsv.gz		HOGA1_GCST90240146.filtered.tsv.gz	bc4770206136124d170a76d0ddb633ab923fb57f86f2cf0bfcf1b28ae2debda7	sha256	108231	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000241935	HOGA1	10	97584323	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
28	GCST90240147	GCST90240147	40S ribosomal protein S3 levels (RPS3.5026.66.1)	40s ribosomal protein S3 measurement	http://www.ebi.ac.uk/efo/EFO_0020117	http://www.ebi.ac.uk/efo/EFO_0020117	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPS3_GCST90240147.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240147/harmonised/GCST90240147.h.tsv.gz		RPS3_GCST90240147.filtered.tsv.gz	c698895d5ec376dddf3e80bdf9304207c92454e9de95c0924012b43d259391a2	sha256	273573	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000149273	RPS3	11	75394327	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
29	GCST90240148	GCST90240148	40S ribosomal protein S3a levels (RPS3A.5484.63.3)	40S ribosomal protein S3a measurement	http://www.ebi.ac.uk/efo/EFO_0801333	http://www.ebi.ac.uk/efo/EFO_0801333	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPS3A_GCST90240148.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240148/harmonised/GCST90240148.h.tsv.gz		RPS3A_GCST90240148.filtered.tsv.gz	1b0acf0794de11508dac9d7cad03535e5ac2160c5ba7d5bd4442a4ac054b4da0	sha256	275549	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000145425	RPS3A	4	151099564	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
30	GCST90240149	GCST90240149	40S ribosomal protein S4, X isoform levels (RPS4X.9758.17.3)	40S ribosomal protein S4, X isoform measurement	http://www.ebi.ac.uk/efo/EFO_0801334	http://www.ebi.ac.uk/efo/EFO_0801334	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPS4X_GCST90240149.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240149/harmonised/GCST90240149.h.tsv.gz		RPS4X_GCST90240149.filtered.tsv.gz	a096a16f3b4577f7fea3eb85897c49ee9e9853b2983a26e0e89b602b49dbdcb1	sha256	292038	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000198034	RPS4X	X	72255661	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
31	GCST90240150	GCST90240150	40S ribosomal protein S7 levels (RPS7.3864.5.2)	40s ribosomal protein S7 measurement	http://www.ebi.ac.uk/efo/EFO_0020118	http://www.ebi.ac.uk/efo/EFO_0020118	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPS7_GCST90240150.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240150/harmonised/GCST90240150.h.tsv.gz		RPS7_GCST90240150.filtered.tsv.gz	e0ed2e5ab157629f0f07041e73f4644647865777e95c01002dfd281fdbe7500f	sha256	443589	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000171863	RPS7	2	3575198	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
32	GCST90240151	GCST90240151	40S ribosomal protein SA levels (RPSA.4957.1.2)	40s ribosomal protein SA measurement	http://www.ebi.ac.uk/efo/EFO_0020119	http://www.ebi.ac.uk/efo/EFO_0020119	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPSA_GCST90240151.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240151/harmonised/GCST90240151.h.tsv.gz		RPSA_GCST90240151.filtered.tsv.gz	5e151e8f60d0226a3e61b7e77d98948ae95df5d67f064cc6d616570d5f1e7d25	sha256	444432	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000168028	RPSA	3	39406709	3301	plasma	SomaScan	FALSE	somascan_db_gene_name	1
33	GCST90240152	GCST90240152	5-formyltetrahydrofolate cyclo-ligase levels (MTHFS.14107.1.3)	5-formyltetrahydrofolate cyclo-ligase measurement	http://www.ebi.ac.uk/efo/EFO_0801335	http://www.ebi.ac.uk/efo/EFO_0801335	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MTHFS_GCST90240152.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240152/harmonised/GCST90240152.h.tsv.gz		MTHFS_GCST90240152.filtered.tsv.gz	f33f0d6fd437be19758b911ba3806c01a3cdaae1257d090c01e2fe545e6b9e88	sha256	309209	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000136371	MTHFS	15	79833585	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
34	GCST90240153	GCST90240153	5'-Nucleotidase levels (NT5E.6993.8.3)	5'-nucleotidase measurement	http://www.ebi.ac.uk/efo/EFO_0802241	http://www.ebi.ac.uk/efo/EFO_0802241	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/NT5E_GCST90240153.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240153/harmonised/GCST90240153.h.tsv.gz		NT5E_GCST90240153.filtered.tsv.gz	a303440d4c008f9eca2404c80dacc473035885cc0fd4363b61c0c82f721f3a0f	sha256	139295	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000135318	NT5E	6	85449584	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
35	GCST90240154	GCST90240154	5'(3')-deoxyribonucleotidase, cytosolic type levels (NT5C.12560.9.3)	5'(3')-deoxyribonucleotidase, cytosolic type measurement	http://www.ebi.ac.uk/efo/EFO_0801336	http://www.ebi.ac.uk/efo/EFO_0801336	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/NT5C_GCST90240154.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240154/harmonised/GCST90240154.h.tsv.gz		NT5C_GCST90240154.filtered.tsv.gz	5b0880fcfd3843acd7ebd12f17bb66008ad3fe5b1e7834834cc6d1bde028f96f	sha256	123200	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000125458	NT5C	17	75130225	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
36	GCST90240155	GCST90240155	6-pyruvoyl tetrahydrobiopterin synthase levels (PTS.12014.19.3)	6-pyruvoyl tetrahydrobiopterin synthase measurement	http://www.ebi.ac.uk/efo/EFO_0802242	http://www.ebi.ac.uk/efo/EFO_0802242	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/PTS_GCST90240155.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240155/harmonised/GCST90240155.h.tsv.gz		PTS_GCST90240155.filtered.tsv.gz	6b0a39c608701b80afea5019078a24261a115474b62e2cf2940150230a098a20	sha256	227675	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000150787	PTS	11	112226059	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
37	GCST90240156	GCST90240156	60S acidic ribosomal protein P2 levels (RPLP2.10949.59.3)	60S acidic ribosomal protein P2 measurement	http://www.ebi.ac.uk/efo/EFO_0802243	http://www.ebi.ac.uk/efo/EFO_0802243	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPLP2_GCST90240156.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240156/harmonised/GCST90240156.h.tsv.gz		RPLP2_GCST90240156.filtered.tsv.gz	6d412f7cd8e9d9a7e8066e10cb68cf78863f4ef6798cfeb7667097df520741d4	sha256	133397	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000177600	RPLP2	11	799414	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
38	GCST90240157	GCST90240157	60S ribosomal protein L30 levels (RPL30.12478.15.3)	60S ribosomal protein L30 measurement	http://www.ebi.ac.uk/efo/EFO_0801337	http://www.ebi.ac.uk/efo/EFO_0801337	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/RPL30_GCST90240157.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240157/harmonised/GCST90240157.h.tsv.gz		RPL30_GCST90240157.filtered.tsv.gz	ecac6c5bc5f5c5de7b14911db9137ae2b11eb6b58a3d1116229626484fe13e62	sha256	277611	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000156482	RPL30	8	98016387	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
39	GCST90240158	GCST90240158	72 kDa inositol polyphosphate 5-phosphatase levels (INPP5E.11370.20.3)	72 kDa inositol polyphosphate 5-phosphatase measurement	http://www.ebi.ac.uk/efo/EFO_0802244	http://www.ebi.ac.uk/efo/EFO_0802244	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/INPP5E_GCST90240158.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240158/harmonised/GCST90240158.h.tsv.gz		INPP5E_GCST90240158.filtered.tsv.gz	9c1d383e891ff5e5b1628f16df9220c802847d6b9e77ff38e03e46493c7534e2	sha256	243792	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000148384	INPP5E	9	136428615	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
40	GCST90240159	GCST90240159	72 kDa type IV collagenase levels (MMP2.4160.49.1)	72 kda type IV collagenase measurement	http://www.ebi.ac.uk/efo/EFO_0020122	http://www.ebi.ac.uk/efo/EFO_0020122	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MMP2_GCST90240159.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240159/harmonised/GCST90240159.h.tsv.gz		MMP2_GCST90240159.filtered.tsv.gz	c3605c583a4b365b396b60ab153fa92c614bdcf7153dc8369c2ce4cad1b99213	sha256	253400	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000087245	MMP2	16	55389700	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
41	GCST90240160	GCST90240160	A disintegrin and metalloproteinase with thrombospondin motifs 1 levels (ADAMTS1.3174.2.1)	a disintegrin and metalloproteinase with thrombospondin motifs 1 measurement	http://www.ebi.ac.uk/efo/EFO_0021968	http://www.ebi.ac.uk/efo/EFO_0021968	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS1_GCST90240160.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240160/harmonised/GCST90240160.h.tsv.gz		ADAMTS1_GCST90240160.filtered.tsv.gz	f5196e6f39bf248dac07b070485ab053ed91e5466f563257418ed54c84afd996	sha256	134718	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000154734	ADAMTS1	21	26835687	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
42	GCST90240161	GCST90240161	A disintegrin and metalloproteinase with thrombospondin motifs 13 levels (ADAMTS13.3175.51.5)	ADAMTS13 measurement	http://www.ebi.ac.uk/efo/EFO_0009269	http://www.ebi.ac.uk/efo/EFO_0009269	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS13_GCST90240161.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240161/harmonised/GCST90240161.h.tsv.gz		ADAMTS13_GCST90240161.filtered.tsv.gz	281d135737c0f84516b198ff7bc89ddbe3400b9d27b693d13f45f37dc01796eb	sha256	271640	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000160323	ADAMTS13	9	133414358	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
43	GCST90240162	GCST90240162	A disintegrin and metalloproteinase with thrombospondin motifs 15 levels (ADAMTS15.4533.76.2)	a disintegrin and metalloproteinase with thrombospondin motifs 15 measurement	http://www.ebi.ac.uk/efo/EFO_0020123	http://www.ebi.ac.uk/efo/EFO_0020123	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS15_GCST90240162.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240162/harmonised/GCST90240162.h.tsv.gz		ADAMTS15_GCST90240162.filtered.tsv.gz	18238c826d73acab2ec079a5364ed1251aa561bcbc26b36c1b6d6da689afacd6	sha256	133791	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000166106	ADAMTS15	11	130448635	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
44	GCST90240163	GCST90240163	A disintegrin and metalloproteinase with thrombospondin motifs 3 levels (ADAMTS3.8845.2.3)	a disintegrin and metalloproteinase with thrombospondin motifs 3 measurement	http://www.ebi.ac.uk/efo/EFO_0802245	http://www.ebi.ac.uk/efo/EFO_0802245	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS3_GCST90240163.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240163/harmonised/GCST90240163.h.tsv.gz		ADAMTS3_GCST90240163.filtered.tsv.gz	030914674df904f0f9050d985a625e64a2584af256e77ff2d834803289bc676e	sha256	125932	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000156140	ADAMTS3	4	72280969	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
45	GCST90240164	GCST90240164	A disintegrin and metalloproteinase with thrombospondin motifs 4 levels (ADAMTS4.2809.25.2)	a disintegrin and metalloproteinase with thrombospondin motifs 4 measurement	http://www.ebi.ac.uk/efo/EFO_0020124	http://www.ebi.ac.uk/efo/EFO_0020124	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS4_GCST90240164.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240164/harmonised/GCST90240164.h.tsv.gz		ADAMTS4_GCST90240164.filtered.tsv.gz	f8157212b7bd5adac47d3cf79ea487ca75ba5ba43ef2cc7a2b7524f14130aa7e	sha256	293698	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000158859	ADAMTS4	1	161184302	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
46	GCST90240165	GCST90240165	A disintegrin and metalloproteinase with thrombospondin motifs 5 levels (ADAMTS5.3168.8.2)	a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008326	http://www.ebi.ac.uk/efo/EFO_0008326	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS5_GCST90240165.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240165/harmonised/GCST90240165.h.tsv.gz		ADAMTS5_GCST90240165.filtered.tsv.gz	fd93a28d8d53913b1931ceeae0edfa8e77d679fbb3d6849e4b59634746ab8057	sha256	307322	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000154736	ADAMTS5	21	26917922	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
47	GCST90240166	GCST90240166	A disintegrin and metalloproteinase with thrombospondin motifs 6 levels (ADAMTS6.6441.62.3)	a disintegrin and metalloproteinase with thrombospondin motifs 6 measurement	http://www.ebi.ac.uk/efo/EFO_0801338	http://www.ebi.ac.uk/efo/EFO_0801338	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ADAMTS6_GCST90240166.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240166/harmonised/GCST90240166.h.tsv.gz		ADAMTS6_GCST90240166.filtered.tsv.gz	7e7d2a496686ebe3992118df7a0e4bf0728eecae047c1ea29b0960152ca0f510	sha256	503767	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000049192	ADAMTS6	5	65148738	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
48	GCST90240167	GCST90240167	A/G-specific adenine DNA glycosylase levels (MUTYH.10030.8.3)	A/G-specific adenine DNA glycosylase measurement	http://www.ebi.ac.uk/efo/EFO_0802246	http://www.ebi.ac.uk/efo/EFO_0802246	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/MUTYH_GCST90240167.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240167/harmonised/GCST90240167.h.tsv.gz		MUTYH_GCST90240167.filtered.tsv.gz	fb34394d254c199e0862de2df4209be5119b5b54135810b5b1f81e96626ad151	sha256	88464	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000132781	MUTYH	1	45329163	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
49	GCST90240168	GCST90240168	AarF domain-containing protein kinase 4 levels (ADCK4.9794.17.3)	aarF domain-containing protein kinase 4 measurement	http://www.ebi.ac.uk/efo/EFO_0802247	http://www.ebi.ac.uk/efo/EFO_0802247	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/COQ8B_GCST90240168.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240168/harmonised/GCST90240168.h.tsv.gz		COQ8B_GCST90240168.filtered.tsv.gz	42026d325a4f2f7125a6893afc52aca47b8fff7fb46ae84cfd75688bfd41ae19	sha256	123231	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000123815	COQ8B	19	40691514	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
50	GCST90240169	GCST90240169	Abelson tyrosine-protein kinase 2 levels (ABL2.5261.13.3)	Abelson tyrosine-protein kinase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008012	http://www.ebi.ac.uk/efo/EFO_0008012	resources/data/gwas-ssf-ragged/pqtl-interval-2018/2018-sun-pilot-100/filtered/ABL2_GCST90240169.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240169/harmonised/GCST90240169.h.tsv.gz		ABL2_GCST90240169.filtered.tsv.gz	f7019ef1d2018f1cccbb8a08f58d15d66c077328a672ffd886ed9a904f40951d	sha256	215174	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41586-018-0175-2	29875488	INTERVAL; Sun et al. 2018	European	European	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	3301	0	0	PMID29875488	first_100_sun_2018_interval_pqtl_pilot		ENSG00000143322	ABL2	1	179099330	3301	plasma	SomaScan	FALSE	somascan_db_seqid	1
